1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,3
17,4
18,4
19,4
20,4
21,5
22,5
23,5
24,5
25,6
26,6
27,6
28,6
29,7
30,7
31,7
32,7
33,8
34,8
35,8
36,8
37,9
38,9
39,9
40,9
41,10
42,10
43,10
44,10
45,11
46,11
47,11
48,11
49,12
50,12
51,12
52,12
53,13
54,13
55,13
56,13
57,14
58,14
59,14
60,14
61,15
62,15
63,15
64,15
65,16
66,16
67,16
68,16
69,17
70,17
71,17
72,17
73,18
74,18
75,18
76,18
77,19
78,19
79,19
80,19
81,20
82,20
83,20
84,20
85,21
86,21
87,21
88,21
89,22
90,22
91,22
92,22
93,23
94,23
95,23
96,23
